all_scores,all_labels,all_trails
[-0.07656685],0,enroll/id00800-enroll.wav test/id00801-interview-02-020.wav
[-0.15030834],0,enroll/id00800-enroll.wav test/id00801-interview-02-021.wav
[-0.06452823],0,enroll/id00800-enroll.wav test/id00801-interview-02-022.wav
[-0.07100528],0,enroll/id00800-enroll.wav test/id00802-drama-02-001.wav
[0.05138475],0,enroll/id00800-enroll.wav test/id00802-drama-02-002.wav
[-0.09839181],0,enroll/id00800-enroll.wav test/id00802-drama-02-003.wav
[-0.09646159],0,enroll/id00800-enroll.wav test/id00802-drama-02-004.wav
[-0.01145202],0,enroll/id00800-enroll.wav test/id00802-drama-02-005.wav
[-0.02264639],0,enroll/id00800-enroll.wav test/id00802-drama-02-006.wav
[-0.01572056],0,enroll/id00800-enroll.wav test/id00802-drama-02-007.wav
[0.03270594],0,enroll/id00800-enroll.wav test/id00802-drama-02-008.wav
[0.05333705],0,enroll/id00800-enroll.wav test/id00802-drama-02-009.wav
[0.04344885],0,enroll/id00800-enroll.wav test/id00802-drama-02-010.wav
[0.08661574],0,enroll/id00800-enroll.wav test/id00802-drama-02-011.wav
[0.05520002],0,enroll/id00800-enroll.wav test/id00802-drama-02-012.wav
[0.06804],0,enroll/id00800-enroll.wav test/id00802-drama-02-013.wav
[0.03105801],0,enroll/id00800-enroll.wav test/id00802-drama-02-014.wav
[0.05866627],0,enroll/id00800-enroll.wav test/id00802-drama-02-015.wav
[-0.00348965],0,enroll/id00800-enroll.wav test/id00802-drama-02-016.wav
[-0.00138479],0,enroll/id00800-enroll.wav test/id00802-drama-02-017.wav
[0.07869513],0,enroll/id00800-enroll.wav test/id00802-drama-02-018.wav
[-0.04513715],0,enroll/id00800-enroll.wav test/id00802-drama-02-019.wav
[-0.06298479],0,enroll/id00800-enroll.wav test/id00802-drama-02-020.wav
[-0.15411557],0,enroll/id00800-enroll.wav test/id00802-drama-02-021.wav
[0.04443585],0,enroll/id00800-enroll.wav test/id00802-drama-02-022.wav
[0.02342965],0,enroll/id00800-enroll.wav test/id00802-drama-02-023.wav
[0.07455535],0,enroll/id00800-enroll.wav test/id00802-drama-02-024.wav
[0.0261494],0,enroll/id00800-enroll.wav test/id00802-drama-02-025.wav
[0.06058771],0,enroll/id00800-enroll.wav test/id00802-speech-01-001.wav
[0.07591592],0,enroll/id00800-enroll.wav test/id00802-speech-01-002.wav
[0.01344354],0,enroll/id00800-enroll.wav test/id00802-speech-01-003.wav
[0.05449916],0,enroll/id00800-enroll.wav test/id00802-speech-01-004.wav
[-0.02525065],0,enroll/id00800-enroll.wav test/id00802-speech-01-005.wav
[0.08983094],0,enroll/id00800-enroll.wav test/id00802-speech-01-006.wav
[0.06137475],0,enroll/id00800-enroll.wav test/id00802-speech-01-007.wav
[0.12341069],0,enroll/id00800-enroll.wav test/id00802-speech-01-008.wav
[0.00657684],0,enroll/id00800-enroll.wav test/id00802-speech-01-009.wav
[0.07875866],0,enroll/id00800-enroll.wav test/id00802-speech-01-010.wav
[0.10205151],0,enroll/id00800-enroll.wav test/id00802-speech-01-011.wav
[0.02164783],0,enroll/id00800-enroll.wav test/id00802-speech-01-012.wav
[0.06290437],0,enroll/id00800-enroll.wav test/id00802-speech-01-013.wav
[0.08094973],0,enroll/id00800-enroll.wav test/id00802-speech-01-014.wav
[-0.01234172],0,enroll/id00800-enroll.wav test/id00802-speech-01-015.wav
[0.04152551],0,enroll/id00800-enroll.wav test/id00802-speech-01-016.wav
[-0.0967508],0,enroll/id00800-enroll.wav test/id00802-speech-01-017.wav
[0.05000757],0,enroll/id00800-enroll.wav test/id00802-speech-01-018.wav
[0.03164241],0,enroll/id00800-enroll.wav test/id00802-speech-01-019.wav
[0.03028022],0,enroll/id00800-enroll.wav test/id00802-speech-01-020.wav
[-0.05704658],0,enroll/id00800-enroll.wav test/id00802-speech-01-021.wav
[-0.0101064],0,enroll/id00800-enroll.wav test/id00802-speech-01-022.wav
[0.06816328],0,enroll/id00800-enroll.wav test/id00802-speech-01-023.wav
[0.02874329],0,enroll/id00800-enroll.wav test/id00802-speech-01-024.wav
[0.02217235],0,enroll/id00800-enroll.wav test/id00802-speech-01-025.wav
[-0.00294244],0,enroll/id00800-enroll.wav test/id00802-speech-01-026.wav
[0.0188789],0,enroll/id00800-enroll.wav test/id00802-speech-01-027.wav
[0.07920621],0,enroll/id00800-enroll.wav test/id00802-speech-01-028.wav
[0.04645447],0,enroll/id00800-enroll.wav test/id00802-speech-01-029.wav
[0.03030242],0,enroll/id00800-enroll.wav test/id00802-speech-01-030.wav
[-0.00938104],0,enroll/id00800-enroll.wav test/id00802-speech-01-031.wav
[0.13225754],0,enroll/id00800-enroll.wav test/id00802-speech-01-032.wav
[0.05032152],0,enroll/id00800-enroll.wav test/id00802-speech-01-033.wav
[0.03746931],0,enroll/id00800-enroll.wav test/id00802-speech-01-034.wav
[-0.07708693],0,enroll/id00800-enroll.wav test/id00802-speech-02-001.wav
[-0.06954003],0,enroll/id00800-enroll.wav test/id00802-speech-02-002.wav
[0.02772685],0,enroll/id00800-enroll.wav test/id00802-speech-02-003.wav
[-0.04557718],0,enroll/id00800-enroll.wav test/id00802-speech-02-004.wav
[-0.06479418],0,enroll/id00800-enroll.wav test/id00802-speech-02-005.wav
[-0.03842792],0,enroll/id00800-enroll.wav test/id00802-speech-02-006.wav
[-0.03023866],0,enroll/id00800-enroll.wav test/id00802-speech-02-007.wav
[-0.02253702],0,enroll/id00800-enroll.wav test/id00802-speech-02-008.wav
[0.00632782],0,enroll/id00800-enroll.wav test/id00802-speech-02-009.wav
[-0.07778174],0,enroll/id00800-enroll.wav test/id00802-speech-02-010.wav
[-0.02026223],0,enroll/id00800-enroll.wav test/id00802-speech-03-001.wav
[0.00540727],0,enroll/id00800-enroll.wav test/id00802-speech-03-002.wav
[0.0645045],0,enroll/id00800-enroll.wav test/id00802-speech-03-003.wav
[0.00420079],0,enroll/id00800-enroll.wav test/id00802-speech-03-004.wav
[-0.01152488],0,enroll/id00800-enroll.wav test/id00802-speech-03-005.wav
[0.00541941],0,enroll/id00800-enroll.wav test/id00802-speech-03-006.wav
[0.01904877],0,enroll/id00800-enroll.wav test/id00802-speech-03-007.wav
[0.135322],0,enroll/id00800-enroll.wav test/id00802-speech-03-008.wav
[0.03057029],0,enroll/id00800-enroll.wav test/id00802-speech-03-009.wav
[0.04693019],0,enroll/id00800-enroll.wav test/id00802-speech-03-010.wav
[0.02454885],0,enroll/id00800-enroll.wav test/id00802-speech-03-011.wav
[0.05247224],0,enroll/id00800-enroll.wav test/id00802-speech-03-012.wav
[-0.00602808],0,enroll/id00800-enroll.wav test/id00802-speech-03-013.wav
[-0.01074969],0,enroll/id00800-enroll.wav test/id00802-speech-03-014.wav
[0.00231008],0,enroll/id00800-enroll.wav test/id00802-speech-03-016.wav
[0.14846842],0,enroll/id00800-enroll.wav test/id00802-speech-03-017.wav
[-0.01865651],0,enroll/id00800-enroll.wav test/id00802-speech-03-018.wav
[0.05246951],0,enroll/id00800-enroll.wav test/id00802-speech-03-019.wav
[0.07068805],0,enroll/id00800-enroll.wav test/id00802-speech-03-020.wav
[0.014271],0,enroll/id00800-enroll.wav test/id00802-speech-03-021.wav
[-0.0312157],0,enroll/id00800-enroll.wav test/id00802-speech-03-022.wav
[-0.01283074],0,enroll/id00800-enroll.wav test/id00802-speech-03-023.wav
[-0.0052607],0,enroll/id00800-enroll.wav test/id00802-speech-03-024.wav
[0.00862944],0,enroll/id00800-enroll.wav test/id00802-speech-03-025.wav
[0.02188094],0,enroll/id00800-enroll.wav test/id00802-speech-03-026.wav
[0.03677712],0,enroll/id00800-enroll.wav test/id00802-speech-03-028.wav
[0.04977116],0,enroll/id00800-enroll.wav test/id00802-speech-03-029.wav
[0.10969558],0,enroll/id00800-enroll.wav test/id00802-speech-03-030.wav
[0.07653474],0,enroll/id00800-enroll.wav test/id00802-speech-03-031.wav
[-0.00565057],0,enroll/id00800-enroll.wav test/id00802-speech-03-032.wav
[0.00849172],0,enroll/id00800-enroll.wav test/id00802-speech-03-033.wav
[0.01347976],0,enroll/id00800-enroll.wav test/id00802-speech-03-034.wav
[0.10313673],0,enroll/id00800-enroll.wav test/id00802-speech-03-035.wav
[-0.00081392],0,enroll/id00800-enroll.wav test/id00802-speech-04-001.wav
[0.00113823],0,enroll/id00800-enroll.wav test/id00802-speech-04-002.wav
[-0.03041518],0,enroll/id00800-enroll.wav test/id00802-speech-04-003.wav
[-0.04240271],0,enroll/id00800-enroll.wav test/id00802-speech-04-004.wav
[0.03791087],0,enroll/id00800-enroll.wav test/id00802-speech-04-005.wav
[-0.0623053],0,enroll/id00800-enroll.wav test/id00802-speech-04-006.wav
[-0.0314855],0,enroll/id00800-enroll.wav test/id00802-speech-04-007.wav
[0.04196706],0,enroll/id00800-enroll.wav test/id00802-speech-04-008.wav
[-0.03211669],0,enroll/id00800-enroll.wav test/id00802-speech-04-009.wav
[0.00864745],0,enroll/id00800-enroll.wav test/id00802-speech-04-010.wav
[0.05264308],0,enroll/id00800-enroll.wav test/id00802-speech-04-011.wav
[-0.058196],0,enroll/id00800-enroll.wav test/id00802-speech-04-012.wav
[-0.03369801],0,enroll/id00800-enroll.wav test/id00802-speech-04-013.wav
[-0.02361762],0,enroll/id00800-enroll.wav test/id00802-speech-04-014.wav
[0.0015899],0,enroll/id00800-enroll.wav test/id00802-speech-04-015.wav
[-0.03354675],0,enroll/id00800-enroll.wav test/id00802-speech-04-016.wav
[-0.0748279],0,enroll/id00800-enroll.wav test/id00802-speech-04-017.wav
[-0.01522291],0,enroll/id00800-enroll.wav test/id00802-speech-04-018.wav
[-0.00343181],0,enroll/id00800-enroll.wav test/id00802-speech-04-019.wav
[-0.05770081],0,enroll/id00800-enroll.wav test/id00802-speech-04-020.wav
[-0.07196649],0,enroll/id00800-enroll.wav test/id00802-speech-04-022.wav
[-0.02459437],0,enroll/id00800-enroll.wav test/id00802-speech-04-023.wav
[-0.03001535],0,enroll/id00800-enroll.wav test/id00802-speech-04-024.wav
[-0.04446859],0,enroll/id00800-enroll.wav test/id00802-speech-04-025.wav
[-0.01744883],0,enroll/id00800-enroll.wav test/id00802-speech-04-026.wav
[-0.01236743],0,enroll/id00800-enroll.wav test/id00802-speech-04-027.wav
[-0.05994476],0,enroll/id00800-enroll.wav test/id00802-speech-04-028.wav
[-0.06346565],0,enroll/id00800-enroll.wav test/id00802-speech-04-029.wav
[-0.04214584],0,enroll/id00800-enroll.wav test/id00802-speech-04-030.wav
[-0.13491353],0,enroll/id00800-enroll.wav test/id00803-entertainment-01-002.wav
[-0.15641668],0,enroll/id00800-enroll.wav test/id00803-entertainment-01-003.wav
[-0.10406066],0,enroll/id00800-enroll.wav test/id00803-entertainment-01-004.wav
[-0.08799073],0,enroll/id00800-enroll.wav test/id00803-entertainment-01-005.wav
[-0.09591572],0,enroll/id00800-enroll.wav test/id00803-entertainment-01-007.wav
[-0.23201199],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-001.wav
[-0.1934316],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-002.wav
[-0.23350464],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-003.wav
[-0.26638713],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-004.wav
[-0.27704903],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-006.wav
[-0.26243627],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-007.wav
[-0.2739231],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-008.wav
[-0.2519509],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-009.wav
[-0.28833157],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-010.wav
[-0.2788782],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-011.wav
[-0.21458769],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-012.wav
[-0.21031797],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-013.wav
[-0.18362881],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-014.wav
[-0.19254765],0,enroll/id00800-enroll.wav test/id00803-entertainment-02-015.wav
[-0.11029794],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-001.wav
[-0.10379806],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-002.wav
[-0.04932498],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-003.wav
[-0.03819066],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-004.wav
[0.01801126],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-005.wav
[0.01656239],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-006.wav
[-0.01229316],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-007.wav
[-0.01178404],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-008.wav
[0.01720179],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-009.wav
[0.02636071],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-010.wav
[0.06359632],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-012.wav
[-0.04953602],0,enroll/id00800-enroll.wav test/id00803-entertainment-03-013.wav
[-0.16592069],0,enroll/id00800-enroll.wav test/id00803-singing-01-001.wav
[-0.23201199],0,enroll/id00800-enroll.wav test/id00803-singing-01-002.wav
[-0.1934316],0,enroll/id00800-enroll.wav test/id00803-singing-01-003.wav
[-0.23350464],0,enroll/id00800-enroll.wav test/id00803-singing-01-004.wav
[-0.26638713],0,enroll/id00800-enroll.wav test/id00803-singing-01-005.wav
[-0.20277292],0,enroll/id00800-enroll.wav test/id00803-singing-01-006.wav
[-0.27704903],0,enroll/id00800-enroll.wav test/id00803-singing-01-007.wav
[-0.26243627],0,enroll/id00800-enroll.wav test/id00803-singing-01-008.wav
[-0.2739231],0,enroll/id00800-enroll.wav test/id00803-singing-01-009.wav
[-0.2519509],0,enroll/id00800-enroll.wav test/id00803-singing-01-010.wav
[-0.28833157],0,enroll/id00800-enroll.wav test/id00803-singing-01-011.wav
[-0.2788782],0,enroll/id00800-enroll.wav test/id00803-singing-01-012.wav
[-0.21458769],0,enroll/id00800-enroll.wav test/id00803-singing-01-013.wav
[-0.21031797],0,enroll/id00800-enroll.wav test/id00803-singing-01-014.wav
[-0.18362881],0,enroll/id00800-enroll.wav test/id00803-singing-01-015.wav
[-0.19254765],0,enroll/id00800-enroll.wav test/id00803-singing-01-016.wav
[0.03481802],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-001.wav
[-0.16351429],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-002.wav
[-0.16375896],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-003.wav
[-0.23884104],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-004.wav
[0.02745979],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-005.wav
[-0.15022665],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-006.wav
[-0.10558633],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-007.wav
[-0.16965754],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-008.wav
[-0.15758136],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-009.wav
[-0.08863309],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-010.wav
[-0.1453221],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-011.wav
[-0.2827831],0,enroll/id00800-enroll.wav test/id00804-entertainment-01-012.wav
[-0.24450634],0,enroll/id00800-enroll.wav test/id00804-interview-01-001.wav
[-0.25015208],0,enroll/id00800-enroll.wav test/id00804-interview-01-002.wav
[-0.1988619],0,enroll/id00800-enroll.wav test/id00804-interview-01-003.wav
[-0.03687484],0,enroll/id00800-enroll.wav test/id00804-interview-01-004.wav
[-0.05343097],0,enroll/id00800-enroll.wav test/id00804-interview-01-005.wav
[-0.00955274],0,enroll/id00800-enroll.wav test/id00804-interview-01-006.wav
[-0.04202555],0,enroll/id00800-enroll.wav test/id00804-interview-01-007.wav
[-0.27572924],0,enroll/id00800-enroll.wav test/id00804-interview-01-008.wav
[-0.09933212],0,enroll/id00800-enroll.wav test/id00804-interview-01-009.wav
[-0.02418258],0,enroll/id00800-enroll.wav test/id00804-interview-01-010.wav
[0.03979092],0,enroll/id00800-enroll.wav test/id00804-interview-01-011.wav
[-0.01502296],0,enroll/id00800-enroll.wav test/id00804-interview-01-012.wav
[-0.04493884],0,enroll/id00800-enroll.wav test/id00804-interview-01-013.wav
[-0.18434218],0,enroll/id00800-enroll.wav test/id00804-interview-01-014.wav
[-0.11205368],0,enroll/id00800-enroll.wav test/id00804-interview-01-015.wav
[-0.04232157],0,enroll/id00800-enroll.wav test/id00804-interview-01-016.wav
[-0.04552566],0,enroll/id00800-enroll.wav test/id00804-interview-01-018.wav
[-0.0192032],0,enroll/id00800-enroll.wav test/id00804-interview-01-019.wav
[-0.11664234],0,enroll/id00800-enroll.wav test/id00804-interview-01-020.wav
[-0.08134384],0,enroll/id00800-enroll.wav test/id00804-interview-01-021.wav
[-0.11268891],0,enroll/id00800-enroll.wav test/id00804-interview-01-022.wav
[-0.14315322],0,enroll/id00800-enroll.wav test/id00804-interview-01-023.wav
[-0.18506177],0,enroll/id00800-enroll.wav test/id00804-interview-01-024.wav
[-0.19778368],0,enroll/id00800-enroll.wav test/id00804-interview-01-025.wav
[-0.15049605],0,enroll/id00800-enroll.wav test/id00804-interview-01-026.wav
[-0.13597049],0,enroll/id00800-enroll.wav test/id00804-interview-01-027.wav
[-0.0739781],0,enroll/id00800-enroll.wav test/id00804-interview-01-028.wav
[-0.09171369],0,enroll/id00800-enroll.wav test/id00804-interview-02-001.wav
[-0.13590826],0,enroll/id00800-enroll.wav test/id00804-interview-02-002.wav
[-0.03057259],0,enroll/id00800-enroll.wav test/id00804-interview-02-003.wav
[-0.14277342],0,enroll/id00800-enroll.wav test/id00804-interview-02-004.wav
[-0.13828096],0,enroll/id00800-enroll.wav test/id00804-interview-02-005.wav
[-0.04965749],0,enroll/id00800-enroll.wav test/id00804-interview-02-006.wav
[-0.00362656],0,enroll/id00800-enroll.wav test/id00804-interview-02-007.wav
[-0.2655968],0,enroll/id00800-enroll.wav test/id00804-interview-02-008.wav
[-0.21501634],0,enroll/id00800-enroll.wav test/id00804-interview-02-009.wav
[-0.20244946],0,enroll/id00800-enroll.wav test/id00804-interview-02-010.wav
[-0.07461362],0,enroll/id00800-enroll.wav test/id00804-interview-02-011.wav
[-0.13081783],0,enroll/id00800-enroll.wav test/id00804-interview-02-012.wav
[-0.23654047],0,enroll/id00800-enroll.wav test/id00804-interview-02-013.wav
[-0.06016629],0,enroll/id00800-enroll.wav test/id00804-interview-02-014.wav
[-0.08967049],0,enroll/id00800-enroll.wav test/id00804-live_broadcast-01-001.wav
[0.14259683],0,enroll/id00800-enroll.wav test/id00804-live_broadcast-01-002.wav
[-0.0170115],0,enroll/id00800-enroll.wav test/id00804-live_broadcast-01-003.wav
[-0.09146791],0,enroll/id00800-enroll.wav test/id00804-singing-01-001.wav
[-0.09553806],0,enroll/id00800-enroll.wav test/id00804-singing-01-002.wav
[-0.13937782],0,enroll/id00800-enroll.wav test/id00804-singing-01-003.wav
[-0.15307963],0,enroll/id00800-enroll.wav test/id00804-singing-01-004.wav
[-0.07442094],0,enroll/id00800-enroll.wav test/id00804-singing-01-005.wav
[-0.24494758],0,enroll/id00800-enroll.wav test/id00804-singing-02-001.wav
[-0.2728265],0,enroll/id00800-enroll.wav test/id00804-singing-02-002.wav
[-0.3204076],0,enroll/id00800-enroll.wav test/id00804-singing-02-003.wav
[-0.28266847],0,enroll/id00800-enroll.wav test/id00804-singing-02-004.wav
[-0.35342264],0,enroll/id00800-enroll.wav test/id00804-singing-02-005.wav
[-0.29772472],0,enroll/id00800-enroll.wav test/id00804-singing-02-006.wav
[-0.28936812],0,enroll/id00800-enroll.wav test/id00804-singing-02-007.wav
[-0.31630623],0,enroll/id00800-enroll.wav test/id00804-singing-02-008.wav
[-0.2681121],0,enroll/id00800-enroll.wav test/id00804-singing-02-009.wav
[0.00385458],0,enroll/id00800-enroll.wav test/id00804-speech-01-001.wav
[-0.13198538],0,enroll/id00800-enroll.wav test/id00804-speech-01-002.wav
[-0.00031643],0,enroll/id00800-enroll.wav test/id00804-speech-01-003.wav
[-0.1311041],0,enroll/id00800-enroll.wav test/id00804-speech-01-005.wav
[0.02968265],0,enroll/id00800-enroll.wav test/id00804-speech-01-006.wav
[0.01880012],0,enroll/id00800-enroll.wav test/id00804-speech-01-007.wav
